City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Isiro,CD,2020-02-22 21:44:00,2.77,27.62,80.33,44,100,1.83
71,Luanda,AO,2020-02-22 21:44:00,-8.84,13.23,82.4,83,75,8.05
72,Fort Nelson,CA,2020-02-22 21:44:00,58.81,-122.7,37.4,25,40,18.34
73,Santa Cruz,BO,2020-02-22 21:43:58,-17.8,-63.17,80.6,44,20,21.92
74,Moree,AU,2020-02-22 21:44:01,-29.47,149.85,69.8,64,90,8.05
75,Castro,BR,2020-02-22 21:40:41,-24.79,-50.01,70.52,75,34,5.53
76,Locri,IT,2020-02-22 21:44:01,38.24,16.26,55.4,58,5,3.36
77,Iqaluit,CA,2020-02-22 21:43:57,63.75,-68.51,-27.0,60,20,13.87
78,Mananjary,MG,2020-02-22 21:44:02,-21.22,48.33,77.07,85,99,8.63
79,Preobrazheniye,RU,2020-02-22 21:44:02,42.9,133.91,18.28,77,94,8.3
80,Nanortalik,GL,2020-02-22 21:44:02,60.14,-45.24,27.57,89,100,17.9
81,Kichera,RU,2020-02-22 21:44:02,55.94,110.1,8.19,94,100,3.29
82,Narsaq,GL,2020-02-22 21:44:03,60.92,-46.05,21.2,37,100,18.34
83,Hay River,CA,2020-02-22 21:42:26,60.82,-115.8,6.8,77,75,8.05
84,Meulaboh,ID,2020-02-22 21:44:03,4.14,96.13,83.14,69,93,5.21
85,Domoni,KM,2020-02-22 21:44:03,-12.26,44.53,84.74,76,100,12.06
86,Abastumani,GE,2020-02-22 21:44:03,41.71,42.85,46.4,93,90,2.24
87,Ponta Do Sol,PT,2020-02-22 21:44:04,32.67,-17.1,69.01,77,20,21.92
88,Victoria,HK,2020-02-22 21:44:04,22.29,114.16,64.99,77,20,20.8
89,Grand Gaube,MU,2020-02-22 21:43:58,-20.01,57.66,77.0,88,75,3.36
90,Dakar,SN,2020-02-22 21:42:44,14.69,-17.44,71.6,88,20,16.11
91,Sampit,ID,2020-02-22 21:44:05,-2.53,112.95,73.81,94,100,0.11
92,Tura,IN,2020-02-22 21:44:05,25.52,90.22,67.06,47,29,4.07
93,Lewistown,US,2020-02-22 21:44:05,40.6,-77.57,53.01,15,1,11.41
94,Bardiyah,LY,2020-02-22 21:44:05,31.76,25.09,56.73,70,54,14.92
95,Ust-Nera,RU,2020-02-22 21:44:05,64.57,143.2,-26.79,100,100,1.19
96,Glendive,US,2020-02-22 21:42:29,47.11,-104.71,51.8,34,1,18.34
97,Sirari,TZ,2020-02-22 21:44:06,-1.23,34.43,66.85,85,100,3.13
98,Tchaourou,BJ,2020-02-22 21:44:06,8.89,2.6,84.36,17,0,5.53
99,Kitimat,CA,2020-02-22 21:42:48,54.05,-128.65,37.4,86,75,11.41
100,Port Alfred,ZA,2020-02-22 21:44:07,-33.59,26.89,63.0,95,100,4.0
101,Evensk,RU,2020-02-22 21:44:07,61.95,159.23,-13.77,77,95,4.23
102,Khatanga,RU,2020-02-22 21:44:07,71.97,102.5,6.87,83,100,14.27
103,Punta Cardon,VE,2020-02-22 21:44:08,11.66,-70.22,79.66,69,84,22.66
104,Cap Malheureux,MU,2020-02-22 21:44:08,-19.98,57.61,77.0,88,75,3.36
105,Omboue,GA,2020-02-22 21:44:08,-1.57,9.26,75.92,95,48,1.72
106,Vaini,TO,2020-02-22 21:44:08,-21.2,-175.2,82.4,88,75,9.17
107,Lebu,CL,2020-02-22 21:44:08,-37.62,-73.65,66.42,62,15,5.06
108,Port Elizabeth,ZA,2020-02-22 21:44:09,-33.92,25.57,67.01,76,100,17.49
109,Laguna,US,2020-02-22 21:44:09,38.42,-121.42,73.4,31,1,10.29
110,Urumqi,CN,2020-02-22 21:44:09,43.8,87.6,23.0,79,35,2.24
111,Asau,RO,2020-02-22 21:44:09,46.43,26.4,34.0,80,0,5.82
112,Puerto Ayora,EC,2020-02-22 21:44:10,-0.74,-90.35,82.4,78,40,9.17
113,Clyde River,CA,2020-02-22 21:44:10,70.47,-68.59,-27.4,74,1,4.7
114,Dhaulpur,IN,2020-02-22 21:44:10,26.7,77.9,59.72,83,0,4.36
115,Trinidad,BO,2020-02-22 21:44:10,-14.83,-64.9,75.2,60,90,6.93
116,Padang,ID,2020-02-22 21:44:10,-0.95,100.35,70.09,83,0,6.89
117,Ancud,CL,2020-02-22 21:42:27,-41.87,-73.82,80.6,28,0,5.82
118,Harper,LR,2020-02-22 21:44:11,4.38,-7.72,78.24,93,98,4.65
119,Pemba,MZ,2020-02-22 21:44:11,-12.97,40.52,78.8,94,75,5.82
120,San Cristobal,VE,2020-02-22 21:44:12,7.77,-72.22,84.2,58,40,12.75
121,Conceicao Da Barra,BR,2020-02-22 21:43:14,-18.59,-39.73,81.73,85,100,19.69
122,Panguna,PG,2020-02-22 21:44:12,-6.32,155.48,74.7,85,55,0.65
123,Matiri,TZ,2020-02-22 21:44:13,-10.75,34.9,64.67,95,76,1.48
124,Aykhal,RU,2020-02-22 21:42:29,66.0,111.5,-9.4,83,99,4.47
125,Mogadishu,SO,2020-02-22 21:43:26,2.04,45.34,81.72,85,0,23.51
126,Bafq,IR,2020-02-22 21:44:13,31.61,55.41,59.27,33,0,9.42
127,Carnarvon,AU,2020-02-22 21:44:13,-24.87,113.63,75.2,83,40,5.82
128,Port Keats,AU,2020-02-22 21:44:14,-14.25,129.55,84.13,84,41,11.1
129,Richards Bay,ZA,2020-02-22 21:44:14,-28.78,32.04,80.24,82,100,29.48
130,Indiaroba,BR,2020-02-22 21:44:14,-11.52,-37.51,80.49,73,0,5.48
131,Nome,US,2020-02-22 21:44:14,64.5,-165.41,-16.6,82,1,3.24
132,Tynda,RU,2020-02-22 21:44:15,55.17,124.72,-6.3,99,95,0.54
133,Williamsport,US,2020-02-22 21:40:45,41.24,-77.0,51.8,15,1,11.41
134,Hilo,US,2020-02-22 21:44:15,19.73,-155.09,80.6,54,20,6.93
135,Hamilton,US,2020-02-22 21:41:45,39.18,-84.53,50.0,21,1,8.05
136,Ribeira Grande,PT,2020-02-22 21:42:27,38.52,-28.7,59.0,72,75,4.7
137,Poronaysk,RU,2020-02-22 21:44:16,49.22,143.12,18.91,94,100,16.58
138,Cidreira,BR,2020-02-22 21:44:16,-30.18,-50.21,70.93,67,15,17.34
139,Qaanaaq,GL,2020-02-22 21:44:16,77.48,-69.36,-14.08,64,99,4.52
140,Mitchell,US,2020-02-22 21:42:07,43.71,-98.03,42.8,56,1,9.17
141,Avarua,CK,2020-02-22 21:44:16,-21.21,-159.78,80.6,78,69,8.05
142,Kuusamo,FI,2020-02-22 21:44:17,65.97,29.18,32.0,97,90,11.41
143,Saint-Georges,GD,2020-02-22 21:43:17,12.06,-61.75,84.2,70,75,11.41
144,Kemi,FI,2020-02-22 21:44:18,65.74,24.56,32.0,99,90,2.24
145,Skibbereen,IE,2020-02-22 21:42:32,51.55,-9.27,44.6,100,75,14.99
146,Kodinsk,RU,2020-02-22 21:44:18,58.69,99.18,8.11,97,70,2.95
147,Faya,SA,2020-02-22 21:44:18,18.39,42.45,62.6,33,41,11.41
148,Talnakh,RU,2020-02-22 21:44:18,69.49,88.4,8.6,84,100,24.61
149,Mulege,MX,2020-02-22 21:44:19,26.88,-111.98,78.4,35,99,10.25
150,Sinop,TR,2020-02-22 21:44:19,41.77,34.87,43.0,79,98,12.75
151,Upata,VE,2020-02-22 21:44:19,8.01,-62.4,85.28,51,100,4.03
152,Jumla,NP,2020-02-22 21:43:51,29.27,82.18,30.7,70,99,3.78
153,Saskylakh,RU,2020-02-22 21:44:19,71.92,114.08,-13.74,93,39,5.1
154,Karratha,AU,2020-02-22 21:44:20,-20.74,116.85,81.27,74,0,13.18
155,Kodiak,US,2020-02-22 21:42:04,57.79,-152.41,21.2,53,1,10.29
156,Loandjili,CG,2020-02-22 21:44:20,-4.76,11.86,84.2,89,40,3.36
157,Ouadda,CF,2020-02-22 21:44:21,8.08,22.4,76.75,15,0,6.13
158,Chake Chake,TZ,2020-02-22 21:44:21,-5.25,39.77,83.48,79,100,17.87
159,Camapua,BR,2020-02-22 21:44:21,-19.53,-54.04,71.73,85,98,1.86
160,Kropotkin,RU,2020-02-22 21:44:21,45.44,40.58,42.67,88,100,4.63
161,Vila Franca Do Campo,PT,2020-02-22 21:44:21,37.72,-25.43,57.2,76,20,4.7
162,Kattivakkam,IN,2020-02-22 21:44:22,13.22,80.32,80.01,78,40,4.7
163,Mount Isa,AU,2020-02-22 21:44:22,-20.73,139.5,78.8,74,40,6.93
164,Rio Gallegos,AR,2020-02-22 21:40:18,-51.62,-69.22,71.6,43,34,20.8
165,Alice Springs,AU,2020-02-22 21:42:08,-23.7,133.88,60.8,31,0,2.24
166,Hasaki,JP,2020-02-22 21:43:45,35.73,140.83,46.4,42,20,4.7
167,Avera,US,2020-02-22 21:44:23,33.19,-82.53,57.0,26,1,1.21
168,Okhotsk,RU,2020-02-22 21:42:26,59.38,143.3,-12.35,100,87,3.8
169,Schaffhausen,CH,2020-02-22 21:44:23,47.7,8.63,50.0,46,100,3.36
170,Kolyvan,RU,2020-02-22 21:44:23,55.31,82.74,23.0,92,90,2.08
171,Newtonmore,GB,2020-02-22 21:44:24,57.07,-4.12,39.2,69,40,24.16
172,Port Blair,IN,2020-02-22 21:44:24,11.67,92.75,80.6,78,40,4.7
173,Luderitz,NA,2020-02-22 21:44:24,-26.65,15.16,66.2,77,0,19.46
174,Saint-Pierre,RE,2020-02-22 21:44:24,-21.34,55.48,75.2,69,75,6.93
175,Udachnyy,RU,2020-02-22 21:39:40,66.42,112.4,-9.4,83,97,4.47
176,Hervey Bay,AU,2020-02-22 21:44:25,-25.3,152.85,77.0,78,75,11.41
177,Thompson,CA,2020-02-22 21:44:25,55.74,-97.86,26.6,49,20,2.24
178,Nara,JP,2020-02-22 21:39:58,34.69,135.8,48.2,80,20,4.7
179,Pecos,US,2020-02-22 21:44:25,31.42,-103.49,66.0,39,1,9.17
180,Tilichiki,RU,2020-02-22 21:44:26,60.47,166.1,-14.67,92,0,3.0
181,Cairns,AU,2020-02-22 21:44:26,-16.92,145.77,78.8,88,75,6.93
182,Guerrero Negro,MX,2020-02-22 21:42:01,27.98,-114.06,63.82,63,100,14.65
183,Marsaxlokk,MT,2020-02-22 21:44:26,35.84,14.54,55.4,66,75,8.05
184,Sept-Iles,CA,2020-02-22 21:41:58,50.2,-66.38,33.01,81,75,14.99
185,Ketchikan,US,2020-02-22 21:44:27,55.34,-131.65,42.8,80,75,4.7
186,Banda Aceh,ID,2020-02-22 21:43:49,5.56,95.32,72.75,91,0,4.41
187,Kenai,US,2020-02-22 21:44:27,60.55,-151.26,24.01,72,90,3.36
188,Itacoatiara,BR,2020-02-22 21:44:28,-3.14,-58.44,82.24,92,100,2.57
189,Vestmannaeyjar,IS,2020-02-22 21:44:28,63.44,-20.27,34.2,60,100,5.57
